date,open,high,low,close,volume,futures_price,expiry
2025-11-13 08:00:00,103301.5,105848.7,99073.9,101265.6,800308.0,101265.6,202603
2025-11-14 08:00:00,101200.0,101446.4,95555.0,96066.6,557360.0,96066.6,202603
2025-11-15 08:00:00,96118.8,98342.0,96118.8,97118.3,96515.0,97118.3,202603
2025-11-16 08:00:00,97127.8,98143.6,94401.0,95774.3,389900.0,95774.3,202603
2025-11-17 08:00:00,95751.8,97586.8,92621.5,93572.7,418624.0,93572.7,202603
2025-11-18 08:00:00,93514.0,95400.0,90626.5,94527.3,280716.0,94527.3,202603
2025-11-19 08:00:00,94472.9,94491.8,90037.6,93029.2,255315.0,93029.2,202603
2025-11-20 08:00:00,93036.6,94708.0,87477.1,87907.0,538662.0,87907.0,202603
2025-11-21 08:00:00,87926.0,88799.7,81655.2,86253.5,1759788.0,86253.5,202603
2025-11-22 08:00:00,86219.7,86696.2,84589.4,85849.2,129866.0,85849.2,202603
2025-11-23 08:00:00,85852.4,89419.3,85852.4,88144.6,318139.0,88144.6,202603
2025-11-24 08:00:00,88078.9,90600.0,86603.8,89713.5,643884.0,89713.5,202603
2025-11-25 08:00:00,89660.1,89969.1,87451.7,88702.4,425697.0,88702.4,202603
2025-11-26 08:00:00,88728.7,92231.8,87646.1,92071.1,284528.0,92071.1,202603
2025-11-27 08:00:00,92059.2,93470.3,91644.8,92858.6,233988.0,92858.6,202603
2025-11-28 08:00:00,92896.6,94624.9,91733.3,92392.3,296560.0,92392.3,202603
2025-11-29 08:00:00,92391.7,92740.4,91717.1,92393.4,129497.0,92393.4,202603
2025-11-30 08:00:00,92393.5,93483.5,91854.0,91880.9,154153.0,91880.9,202603
2025-12-01 08:00:00,91850.0,91916.3,85031.9,87659.4,992596.0,87659.4,202603
2025-12-02 08:00:00,87622.8,93770.3,87504.0,92709.1,464262.0,92709.1,202603
2025-12-03 08:00:00,92773.7,95655.0,92397.2,94891.0,530402.0,94891.0,202603
2025-12-04 08:00:00,94936.4,95602.6,92284.4,93470.3,325987.0,93470.3,202603
2025-12-05 08:00:00,93512.5,94076.9,89285.8,90584.1,616453.0,90584.1,202603
2025-12-06 08:00:00,90488.6,91454.9,90071.1,90357.3,54441.0,90357.3,202603
2025-12-07 08:00:00,90348.1,92979.6,88875.1,91739.8,211194.0,91739.8,202603
2025-12-08 08:00:00,91530.3,93528.8,90804.1,91835.0,152439.0,91835.0,202603
2025-12-09 08:00:00,91821.9,95772.1,90716.6,93854.2,212719.0,93854.2,202603
2025-12-10 08:00:00,93840.1,95700.0,92800.0,93204.1,155603.0,93204.1,202603
2025-12-11 08:00:00,93199.3,94677.7,90360.0,93589.6,267544.0,93589.6,202603
2025-12-12 08:00:00,93635.7,93878.5,90537.8,91380.0,137291.0,91380.0,202603
2025-12-13 08:00:00,91340.8,91714.2,90856.3,91366.8,25769.0,91366.8,202603
2025-12-14 08:00:00,91330.0,91561.3,88500.1,89105.0,177628.0,89105.0,202603
2025-12-15 08:00:00,89110.8,91081.0,85995.2,87282.0,465892.0,87282.0,202603
2025-12-16 08:00:00,87268.2,89043.8,86172.6,88721.4,388583.0,88721.4,202603
2025-12-17 08:00:00,88585.0,91290.6,86247.3,87157.7,204491.0,87157.7,202603
2025-12-18 08:00:00,87123.3,90384.8,85344.6,86361.3,307717.0,86361.3,202603
2025-12-19 08:00:00,86336.6,90388.8,85971.0,89201.5,326978.0,89201.5,202603
2025-12-20 08:00:00,89189.0,89621.4,88803.9,89375.3,64558.0,89375.3,202603
2025-12-21 08:00:00,89402.0,90071.0,88573.7,89689.5,81925.0,89689.5,202603
2025-12-22 08:00:00,89718.8,91809.7,88986.2,89655.7,613446.0,89655.7,202603
2025-12-23 08:00:00,89629.6,89998.1,87488.8,88473.5,326230.0,88473.5,202603
2025-12-24 08:00:00,88470.3,88998.9,87375.2,88602.7,149073.0,88602.7,202603
2025-12-25 08:00:00,88538.7,89550.0,87914.3,88215.4,136707.0,88215.4,202603
2025-12-26 08:00:00,88200.1,90500.0,87656.9,88370.4,411235.0,88370.4,202603
2025-12-27 08:00:00,88356.8,89069.8,88262.8,88960.1,78194.0,88960.1,202603
2025-12-28 08:00:00,88978.7,89175.6,88502.1,89018.6,87793.0,89018.6,202603
2025-12-29 08:00:00,88951.5,91556.3,87740.1,88133.3,692870.0,88133.3,202603
2025-12-30 08:00:00,88122.2,90295.8,87718.7,89374.9,327315.0,89374.9,202603
2025-12-31 08:00:00,89349.8,90044.7,88017.0,88461.3,169002.0,88461.3,202603
2026-01-01 08:00:00,88444.7,89757.3,88329.1,89674.5,103529.0,89674.5,202603
2026-01-02 08:00:00,89676.3,91880.9,89223.8,90855.9,282306.0,90855.9,202603
2026-01-03 08:00:00,90873.8,91708.9,90190.1,91591.9,94387.0,91591.9,202603
2026-01-04 08:00:00,91598.1,92806.7,91598.1,92691.2,98039.0,92691.2,202603
2026-01-05 08:00:00,92594.3,95849.0,92552.4,94872.6,159836.0,94872.6,202603
2026-01-06 08:00:00,94871.7,95511.6,92305.0,94803.2,161489.0,94803.2,202603
2026-01-07 08:00:00,94810.5,94810.5,91594.4,92312.7,221021.0,92312.7,202603
2026-01-08 08:00:00,92312.4,92626.5,90200.1,91994.8,224296.0,91994.8,202603
2026-01-09 08:00:00,91996.9,92921.4,90528.6,91447.5,103427.0,91447.5,202603
2026-01-10 08:00:00,91462.4,91686.7,91238.6,91355.1,41778.0,91355.1,202603
2026-01-11 08:00:00,91344.9,92164.1,91100.0,91870.1,53837.0,91870.1,202603
2026-01-12 08:00:00,91864.9,93449.9,90945.3,92101.4,140757.0,92101.4,202603
2026-01-13 08:00:00,92138.2,97968.1,91893.8,96334.0,225179.0,96334.0,202603
2026-01-14 08:00:00,96368.0,98846.3,95500.0,97805.7,459431.0,97805.7,202603
2026-01-15 08:00:00,97659.4,98071.6,95957.5,96449.1,253066.0,96449.1,202603
2026-01-16 08:00:00,96486.2,96695.7,95116.4,96415.4,102417.0,96415.4,202603
2026-01-17 08:00:00,96415.4,96489.5,95826.0,95949.3,52263.0,95949.3,202603
2026-01-18 08:00:00,95928.5,96365.5,94421.5,94456.0,161982.0,94456.0,202603
2026-01-19 08:00:00,94421.3,94450.6,92750.7,93305.5,233308.0,93305.5,202603
2026-01-20 08:00:00,93356.7,93586.9,88473.1,89025.1,512973.0,89025.1,202603
2026-01-21 08:00:00,89025.0,91259.7,87888.8,90079.4,207334.0,90079.4,202603
2026-01-22 08:00:00,90089.2,91022.7,89180.6,90207.9,122308.0,90207.9,202603
2026-01-23 08:00:00,90191.2,91857.6,89179.8,90272.5,119169.0,90272.5,202603
2026-01-24 08:00:00,90254.5,90534.3,89816.2,89850.0,123532.0,89850.0,202603
2026-01-25 08:00:00,89840.4,90005.9,86774.3,87323.4,311356.0,87323.4,202603
2026-01-26 08:00:00,87350.9,89522.9,87171.3,89032.2,276615.0,89032.2,202603
2026-01-27 08:00:00,89022.8,90190.5,87951.2,89891.2,158412.0,89891.2,202603
2026-01-28 08:00:00,89897.6,91207.2,89463.1,89872.5,149893.0,89872.5,202603
2026-01-29 08:00:00,89912.7,89940.4,83904.5,85250.4,310391.0,85250.4,202603
2026-01-30 08:00:00,85202.7,85284.2,81546.4,84841.3,471046.0,84841.3,202603
2026-01-31 08:00:00,84810.8,84812.3,75550.7,79049.4,874846.0,79049.4,202603
2026-02-01 08:00:00,79063.2,79758.4,75868.8,77363.2,478961.0,77363.2,202603
2026-02-02 08:00:00,77362.6,79640.8,74976.5,79042.8,850179.0,79042.8,202603
2026-02-03 08:00:00,79066.5,79500.9,73253.6,76099.2,230604.0,76099.2,202603
2026-02-04 08:00:00,76090.8,77338.9,72038.9,73409.7,271492.0,73409.7,202603
2026-02-05 08:00:00,73395.5,73589.4,62447.9,63039.2,959948.0,63039.2,202603
2026-02-06 08:00:00,63039.9,71850.0,59937.8,70647.4,1124318.0,70647.4,202603
2026-02-07 08:00:00,70643.7,71812.3,67467.6,69511.6,349618.0,69511.6,202603
2026-02-08 08:00:00,69476.9,72503.9,69058.5,70521.4,220985.0,70521.4,202603
2026-02-09 08:00:00,70510.8,71649.5,68443.9,70311.0,162346.0,70311.0,202603
2026-02-10 08:00:00,70331.9,70674.1,68814.1,68933.1,35949.0,68933.1,202603
